DBN,school_name,lat,long
03M492,"High School for Law, Advocacy and Community Justice",0.7742964110005,-73.984822700999
02M580,Richard R. Green High School of Teaching,0.7052349390005,-74.013315039999
14K586,Lyons Community School,0.7098999600005,-73.943659934999
02M425,Leadership and Public Service High School,0.7091465390005,-74.012076626999
31R047,CSI High School for International Studies,0.5820220260005,-74.157848418999
24Q550,High School for Arts and Business,0.7374181700005,-73.853305729999
06M346,Community Health Academy of the Heights,0.8335552190005,-73.941804211999
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,0.7104355480005,-73.850630154999
29Q272,George Washington Carver High School for the Sciences,0.6682322880005,-73.756839893999
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),0.8600122210005,-73.888229603999
29Q327,Eagle Academy for Young Men III,0.6916701890005,-73.779028605999
02M407,Institute for Collaborative Education,0.7324853780005,-73.983053387999007
32K556,Bushwick Leaders High School for Academic Excellence,0.6949957630005,-73.927986266999
02M439,Manhattan Village Academy,0.7414946990005,-73.991445052999
24Q455,Newtown High School,0.7412052000005,-73.874729883999
12X550,High School of World Cultures,0.8313664900004,-73.878823276999
19K659,Cypress Hills Collegiate Preparatory School,0.6911439620005,-73.868426056999
08X561,Bronx Compass High School,0.8223037650005,-73.855961389999
02M260,M.S. 260 Clinton School Writers & Artists,0.7532108780005,-73.997858514999
16K765,Nelson Mandela School for Social Justice,0.6794330450005,-73.932431769999
09X297,Morris Academy for Collaborative Studies,0.8276026690005,-73.904475256999
02M400,High School for Environmental Studies,0.7677624390005,-73.987511213999
12X372,Urban Assembly School for Wildlife Conservation,0.8440399580004,-73.884686972999
23K697,Teachers Preparatory High School,0.6658109120005,-73.911699644999
09X365,Academy for Language and Technology,0.8491021680005,-73.916088440999
13K350,Urban Assembly High School of Music and Art,0.6971747270005,-73.984959688999
15K462,Secondary School for Law,0.6695981750005,-73.979255521999
18K589,Arts & Media Preparatory Academy,0.6584570300005,-73.929033173999
02M519,Talent Unlimited High School,0.7654454020005,-73.960213785999
02M418,Millennium High School,0.7049203660005,-74.011514022999
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),0.8883728490005,-73.914093203999
27Q309,Academy of Medical Technology: A College Board School,0.6019893360005,-73.762834322999
11X455,Harry S Truman High School,0.8741317980005,-73.833804512999
02M630,Art and Design High School,0.7654015410005,-73.981768245999
19K404,Academy for Young Writers,0.6575226020005,-73.874777024999
10X438,Fordham Leadership Academy for Business and Technology,0.8600122210005,-73.888229603999
07X473,Mott Haven Village Preparatory High School,0.8181735360005,-73.911092662999
02M543,New Design High School,0.7168672240004,-73.989531942999
10X342,International School for Liberal Arts,0.8703774670005,-73.898162951999
