SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class,DBN
Landmark High School,23.228571428571428,25.714285714285715,21.214285714285715,02M419
High School for Health Professions and Human Services,32.1875,34.0625,28.1875,02M420
Leadership and Public Service High School,27.973333333333333,31.866666666666667,22.666666666666668,02M425
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,23.02,27,16.6,02M427
Legacy School for Integrated Studies,19.923076923076923,24.692307692307693,15.615384615384615,02M429
MURRAY HILL ACADEMY,17.075,21.75,12,02M432
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,28,29,27,02M437
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,24.5,26,23,02M438
Manhattan Village Academy,21.35625,23.5,19.3125,02M439
Bayard Rustin Educational Complex,25.925,30.833333333333332,19.75,02M440
Vanguard High School,19.21666666666667,21.166666666666668,16.666666666666668,02M449
Manhattan International High School,20.311764705882354,22.470588235294116,17.176470588235293,02M459
Washington Irving High School,24.17058823529412,31.176470588235293,16.058823529411764,02M460
Stuyvesant High School,31.11578947368421,33.8421052631579,24.105263157894736,02M475
High School of Economics and Finance,27.333333333333332,32.22222222222222,20.166666666666668,02M489
Unity Center for Urban Technologies,25.042857142857144,30.714285714285715,19.285714285714285,02M500
Talent Unlimited High School,25.85,29.4375,21.0625,02M519
Murry Bergtraum High School for Business Careers,26.970588235294116,33.35294117647059,16.764705882352942,02M520
Jacqueline Kennedy Onassis High School,26.05,30.444444444444443,19.833333333333332,02M529
Repertory Company High School for Theatre Arts,23.9,25.5,21.916666666666668,02M531
Manhattan Bridges High School,23.475,26.9375,19.1875,02M542
New Design High School,22.638461538461538,24.692307692307693,20.307692307692307,02M543
Independence High School,19.45,24.214285714285715,14.285714285714286,02M544
High School for Dual Language and Asian Studies,21.81764705882353,26.294117647058822,16.58823529411765,02M545
Liberty High School Academy for Newcomers,18.607692307692307,21.615384615384617,15.153846153846153,02M550
The Urban Assembly New York Harbor School,24.013333333333332,27.333333333333332,19.733333333333334,02M551
Manhattan Comprehensive Night and Day High School,22.442857142857143,29.571428571428573,17,02M575
Richard R. Green High School of Teaching,26.08823529411765,30,21.41176470588235,02M580
Harvey Milk High School,13.622222222222222,13.777777777777779,13.555555555555555,02M586
