DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
11X545,BRONX AEROSPACE ACADEMY,45.6,14.7,25.7,2.2,23.8,72.6,1.2,82.5,17.5,416
12X242,MOTT HALLL V,80.1,12.2,22,3.8,24.1,70.4,0.8,45.5,54.5,477
12X245,NEW DAY ACADEMY,87,11,23,1,45.5,53.4,0,48.2,51.8,191
12X248,THE METROPOLITAN HIGH SCHOOL,86.6,21.8,20.9,1.8,24.2,72.9,0.9,54,46,339
12X251,EXPLORATIONS ACADEMY,76.4,19.9,21.3,1.7,31.2,65.5,1.4,50.8,49.2,362
12X262,BRONX HIGH SCHOOL FOR PERFORMANCE & STAGECRAFT,61.9,10,28.1,1.2,39.2,57.7,0.8,24.6,75.4,260
12X267,BRONX LATIN,79.3,13.6,21.5,0.2,25.6,73.2,1,49.8,50.2,418
12X271,EAST BRONX ACADEMY FOR THE FUTURE,86.2,11.6,24.1,1.9,29.4,68.3,0.2,53,47,619
12X278,PEACE AND DIVERSITY ACADEMY,78.8,13.9,17.3,1.7,43.7,53.7,0.9,45,55,231
12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,63.7,10.3,17.3,5,23.9,67.8,3,52.5,47.5,398
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,100,92.9,0.2,0,0,99.8,0,51.5,48.5,406
12X446,SATELLITE ACADEMY HS @ BRONX REGIONAL HS,62.1,4.8,9.2,0.4,41.2,57,0,33.3,66.7,228
12X478,THE CINEMA SCHOOL,75.9,4,4,4.5,28.7,65,1.8,40.8,59.2,223
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,72.2,16.8,27.5,2.5,37.3,59.8,0.4,44.3,55.7,244
12X511,BRONX ENVISION ACADEMY,60,11.3,18.3,4.2,32.4,60.6,2.8,46.5,53.5,71
12X521,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,60,16.7,11.5,1,26,69.8,1,52.1,47.9,96
12X550,HIGH SCHOOL OF WORLD CULTURES,90.6,86.4,0.5,2.4,10.8,84.6,0.5,52,48,369
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,81.1,11.5,26.2,0.2,30.6,68.8,0.2,54.1,45.9,477
12X684,WINGS ACADEMY,66.4,4.5,22.3,1.3,55,42.2,1.3,53.7,46.3,538
12X690,MONROE ACADEMY FOR BUSINESS/LAW,80.8,14.9,18.5,2.4,26.9,69.1,0.4,60.6,39.4,249
12X692,MONROE ACADEMY FOR VISUAL ARTS,87.3,28.8,20.8,0.9,20.4,77.5,1.3,52.6,47.4,466
13K265,JHS 265 SUSAN S. MCKINNEY,71.1,4.3,20.3,0.5,72,24.6,1.8,37,63,443
13K336,THE URBAN ASSEMBLY ACADEMY OF BUSINESS AND COMMU,59.1,3.1,21.3,2.7,88.9,7.1,0.4,99.6,0.4,225
13K350,THE URBAN ASSEMBLY SCHOOL OF MUSIC AND ART,74.1,4.6,22.5,1.9,73.3,22.7,0.9,42.7,57.3,431
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATIONS,68.9,2.4,18,0.6,79.2,17.1,1.3,45.5,54.5,462
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE,60.7,7,13.7,7.2,77.8,12.2,2.1,56.1,43.9,517
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,50.7,0.1,0.5,60.3,10.2,7.9,21.3,58.3,41.7,5332
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,80,83.1,0,42.5,20.2,28.6,8.7,48.2,51.8,367
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,60.5,0.9,13.3,0.9,79.1,17.1,1.1,39.6,60.4,450
13K499,ACORN COMMUNITY HIGH SCHOOL,81,2.9,18.6,1.2,84.7,12.2,0.8,55.8,44.2,731
13K509,FREEDOM ACADEMY HIGH SCHOOL,68,1.8,14.2,1.4,82.1,15.1,0.9,43.6,56.4,218
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR,62.2,1.5,13.2,5.1,79.3,11.7,2.6,0,100,469
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,74.6,0.7,0,0,83.6,12.5,2,35.5,64.5,152
13K595,BEDFORD ACADEMY HIGH SCHOOL,46.7,1.1,4.1,2.7,89.4,7.1,0.3,49,51,367
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATI,65,1.9,14.1,2.8,79.8,15.3,1.3,75.5,24.5,927
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNIT,63.9,2.4,7.5,0.5,68.4,28.3,1.4,49.5,50.5,212
13K670,BENJAMIN BANNEKER ACADEMY,47.4,0,3,2.7,87,8.8,0.4,46.1,53.9,895
13K674,CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING,61.9,3.6,15.8,7.5,58.2,26.3,4.5,79.4,20.6,335
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,76.6,24.9,26.7,0.2,15.3,80.6,3.4,54.7,45.3,865
14K322,FOUNDATIONS ACADEMY,78.7,5.7,28.4,1.4,66.7,29.8,1.4,56.7,43.3,141
14K404,ACADEMY FOR YOUNG WRITERS,65.3,2.5,12.7,0.7,63.5,32.2,3,24.2,75.7,400
14K449,BROOKLYN LATIN,53.3,0.4,1.1,36.8,26.7,17.9,14.5,54.9,45.1,468
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREE,72.9,11.5,15.3,2,47.7,46.9,2.6,46.2,53.8,392
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,84.8,16.1,13,0.7,32.6,65.4,1,48.5,51.5,1068
14K477,SCHOOL FOR LEGAL STUDIES,65.6,5.7,13,0.9,57.7,39.3,1.7,45.8,54.2,759
14K478,ENTERPRISE BUSINESS AND TECH HS,74.2,9.9,13.2,3.2,39.3,55.4,1.9,65.7,34.3,976
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,80.3,2.7,18.8,1.7,58.7,37.7,1,47.7,52.2,400
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DE,82.6,7,17.6,1.4,38.4,57.2,2.2,72.6,27.4,500
14K561,WILLIAMSBURG PREPARATORY SCHOOL,81,2.8,12.7,1.6,25.5,61.5,11.1,51,49,577
14K586,LYONS COMMUNITY SCHOOL,78.6,14.6,22,1.1,41.7,54.6,2.1,53.7,46.3,527
14K610,AUTOMOTIVE HIGH SCHOOL,67.1,4.7,30.3,1.4,66.1,30.2,1.7,95.6,4.4,723
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,63.3,3.2,14.4,1.6,65.6,30.4,0.4,0,100,250
14K632,FRANCES PERKINS ACADEMY,86.9,9.8,24.9,0,64.7,31.2,4,76.9,23.1,173
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,80.4,17,23.4,1.8,10.1,87.6,0.5,42.7,57.3,218
15K423,BROOKLYN FRONTIERS HIGH SCHOOL,60,1.2,30.9,0,67.9,29.6,2.5,40.7,59.3,81
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,68.2,5.9,25.4,2.3,54.5,39,3.4,56.2,43.8,354
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUD,57.2,4.5,29.2,4.3,34.2,48.1,12.6,59.1,40.9,692
15K462,SECONDARY SCHOOL FOR LAW,76.1,6.3,12.7,2.5,62.4,29.6,5.5,44.2,55.8,473
15K463,SECONDARY SCHOOL FOR JOURNALISM,77,16.7,13.4,9.2,42,43.2,5.4,42.3,57.7,336
15K464,SECONDARY SCHOOL FOR RESEARCH,78,9.6,16.5,8.6,33.2,51.8,5.3,52.8,47.2,394
